fecha,Cuentas Corrientes,Efectivo
2018-12-31,52018.25644675,64377.56213244
2019-01-31,46701.780580030005,61062.77013335
2019-02-28,47919.00753769,60422.49208146
2019-03-31,49915.673749170004,59049.19303297
2019-04-30,50098.15410761,58722.61812123
2019-05-31,47668.8399364,59861.73681614
2019-06-30,49503.36554171,61443.6185977
2019-07-31,48777.07886474,63309.7222697
2019-08-31,51259.18140693,62593.47012658
2019-09-30,51167.79831259,62877.50965155
2019-10-31,48995.50307598,65873.53181506
2019-11-30,54284.89354918,66552.34291327
2019-12-31,52830.2524401,75051.32125866
2020-01-31,49409.71146554,70053.89333146
2020-02-29,51895.1393179,68579.8653762
2020-03-31,66994.71631387,70997.359604
2020-04-30,64826.20246055,75621.27153227
2020-05-31,61861.99680619,78459.07852382
2020-06-30,64007.79044688,80837.97775616
2020-07-31,59587.486165539995,82775.80767897
2020-08-31,61386.31953224,83018.86891533
2020-09-30,58923.62437475,85480.47067347
2020-10-31,61998.47152082,84845.50895359
2020-11-30,61977.034584730005,87370.6774979
2020-12-31,66195.92097783,94873.46043289
2021-01-31,62790.73536219,90709.54960229
2021-02-28,67260.66853976001,90094.53119959
2021-03-31,69877.99735297,91570.53086087
2021-04-30,68532.10960743,91311.38033053
2021-05-31,72481.34173249001,93239.97000784
2021-06-30,70538.7498518,96861.11886367
2021-07-31,71088.63104985999,96460.39952864
2021-08-31,75317.58735693,95756.14272066
2021-09-30,72052.80192995,96762.30243627
2021-10-31,75850.68551475,96055.36428908
2021-11-30,82927.63580974999,98210.55575863
2021-12-31,79659.72624253,108599.59341746
2022-01-31,77176.03261182,104103.56751619
2022-02-28,80752.57432112,103070.18337309
2022-03-31,77167.85251521,104299.54507423
2022-04-30,77363.78699357,102960.63249841
2022-05-31,76985.65418878,103878.80476675
2022-06-30,75712.526953,106426.58999633
2022-07-31,75807.56670913,106630.85353328
2022-08-31,74260.93750373,107492.50902807
2022-09-30,71994.7133896,106148.59601543
2022-10-31,74806.33028015,105889.65757999
2022-11-30,72883.43310169,108891.4535107
2022-12-31,73341.78322639,116163.95929513
2023-01-31,72665.47550300001,108806.95627979
2023-02-28,71821.42253175999,105823.63050499
2023-03-31,67523.3800703,104865.78545193
2023-04-30,69111.01520028,102663.79989318
2023-05-31,65467.77568759,103104.47395186
2023-06-30,65929.88006413,103112.4137215
2023-07-31,66506.77063867,102926.82946859
2023-08-31,64483.5589083,103363.38947415
2023-09-30,65983.86715661999,102175.61324592
2023-10-31,70636.49708348,103192.18595086
2023-11-30,66899.88468202,106644.97516049
2023-12-31,69765.84646579,115069.9780382
2024-01-31,66845.98518468,111043.337807365
2024-02-29,66033.84617703,108868.63401882
2024-03-31,65898.88560342,108511.994952986
2024-04-30,71202.98849273,105672.07148689
2024-05-31,65326.86010742,107670.531915488
