fecha,Tasa de ocupación (%),Tasa de desempleo (%),Inflación total,Límite superior,Meta de inflación,Límite inferior
2010-11-01,61.0052,10.9341,2.59,4.0,3.0,2.0
2010-10-01,61.5427,10.4525,2.33,4.0,3.0,2.0
2010-09-01,60.8169,10.8675,2.28,4.0,3.0,2.0
2010-08-01,59.589,11.3779,2.31,4.0,3.0,2.0
2010-07-01,58.9012,12.8583,2.24,4.0,3.0,2.0
2010-06-01,59.5542,11.9801,2.25,4.0,3.0,2.0
2010-05-01,59.0336,12.2634,2.07,4.0,3.0,2.0
2010-04-01,59.8141,12.4399,1.98,4.0,3.0,2.0
2010-03-01,58.5671,11.959,1.84,4.0,3.0,2.0
2010-02-01,58.9631,12.6947,2.09,4.0,3.0,2.0
2010-01-01,57.2541,14.8787,2.1,4.0,3.0,2.0
2009-12-01,60.015965767,11.312152738,2.0,5.5,5.0,4.5
2009-11-01,60.335782346,11.38713474,2.37,5.5,5.0,4.5
2009-10-01,60.820285921,11.756455161,2.72,5.5,5.0,4.5
2009-09-01,57.889225579,12.440278277,3.21,5.5,5.0,4.5
2009-08-01,57.716811006,11.936144755,3.13,5.5,5.0,4.5
2009-07-01,58.602495973,12.842613611,3.28,5.5,5.0,4.5
2009-06-01,58.924591676,11.597022262,3.81,5.5,5.0,4.5
2009-05-01,59.209336848,11.757818225,4.77,5.5,5.0,4.5
2009-04-01,58.96102204,12.118620636,5.73,5.5,5.0,4.5
2009-03-01,57.884012727,12.185904059,6.14,5.5,5.0,4.5
2009-02-01,56.826481779,12.770944269,6.47,5.5,5.0,4.5
2009-01-01,54.662240283,14.472402367,7.18,5.5,5.0,4.5
2008-12-01,57.037637565,10.773058146,7.67,4.5,4.0,3.5
2008-11-01,55.659797018,10.911502881,7.73,4.5,4.0,3.5
2008-10-01,57.079511255,10.181542469,7.94,4.5,4.0,3.5
2008-09-01,56.843703634,11.04675687,7.57,4.5,4.0,3.5
2008-08-01,56.172420302,11.426192646,7.87,4.5,4.0,3.5
2008-07-01,56.263841174,12.210172762,7.52,4.5,4.0,3.5
2008-06-01,55.33244494,11.413714559,7.18,4.5,4.0,3.5
2008-05-01,57.526129,10.81206561,6.39,4.5,4.0,3.5
2008-04-01,57.92202104,11.078985477,5.73,4.5,4.0,3.5
2008-03-01,57.390846436,11.338130339,5.93,4.5,4.0,3.5
2008-02-01,56.666326308,12.194552516,6.35,4.5,4.0,3.5
2008-01-01,54.651942368,13.297503736,6.0,4.5,4.0,3.5
2007-12-01,56.877418213,9.923435534,5.69,4.5,4.0,3.5
2007-11-01,58.616699927,9.488429979,5.41,4.5,4.0,3.5
2007-10-01,59.42015751,10.211931533,5.16,4.5,4.0,3.5
2007-09-01,56.76262277,10.870898873,5.01,4.5,4.0,3.5
2007-08-01,56.155898407,10.861778335,5.22,4.5,4.0,3.5
2007-07-01,56.120751928,11.354062786,5.77,4.5,4.0,3.5
2007-06-01,56.236208508,11.1987178,6.03,4.5,4.0,3.5
2007-05-01,55.988386826,11.701719416,6.23,4.5,4.0,3.5
2007-04-01,57.422098704,10.807868043,6.26,4.5,4.0,3.5
2007-03-01,55.101661144,12.033288492,5.78,4.5,4.0,3.5
2007-02-01,55.723672588,12.856190578,5.25,4.5,4.0,3.5
2007-01-01,53.246984719,14.279167506,4.71,4.5,4.0,3.5
2006-12-01,55.137502307,11.84025816,4.48,5.0,4.5,4.0
2006-11-01,55.903691656,10.996331575,4.31,5.0,4.5,4.0
2006-10-01,55.688258818,11.355034134,4.19,5.0,4.5,4.0
2006-09-01,54.73959,12.914994537,4.58,5.0,4.5,4.0
2006-08-01,55.572161184,13.043927969,4.72,5.0,4.5,4.0
2006-07-01,57.753,12.2993,4.32,5.0,4.5,4.0
2006-06-01,59.2698,10.4773,3.94,5.0,4.5,4.0
2006-05-01,57.2503,11.8688,4.04,5.0,4.5,4.0
2006-04-01,56.7547,12.0643,4.12,5.0,4.5,4.0
2006-03-01,58.6454,11.3671,4.11,5.0,4.5,4.0
2006-02-01,57.1797,13.0792,4.19,5.0,4.5,4.0
2006-01-01,56.8327,13.3696,4.56,5.0,4.5,4.0
2005-12-01,59.8143,10.2722,4.85,5.5,5.0,4.5
2005-11-01,59.4015,10.2813,5.1,5.5,5.0,4.5
2005-10-01,60.3214,9.8985,5.27,5.5,5.0,4.5
2005-09-01,58.2895,11.3333,5.02,5.5,5.0,4.5
2005-08-01,57.7069,11.7188,4.88,5.5,5.0,4.5
2005-07-01,58.5151,12.0484,4.91,5.5,5.0,4.5
2005-06-01,57.422,11.5427,4.83,5.5,5.0,4.5
2005-05-01,57.7425,12.4907,5.04,5.5,5.0,4.5
2005-04-01,57.7268,12.0205,5.01,5.5,5.0,4.5
2005-03-01,57.1899,12.9543,5.03,5.5,5.0,4.5
2005-02-01,56.7561,14.0969,5.25,5.5,5.0,4.5
2005-01-01,56.9725,13.2626,5.43,5.5,5.0,4.5
2004-12-01,58.0556,11.9539,5.5,6.0,5.5,5.0
2004-11-01,59.3295,11.8368,5.82,6.0,5.5,5.0
2004-10-01,58.6049,12.2856,5.9,6.0,5.5,5.0
2004-09-01,57.9374,12.2851,5.97,6.0,5.5,5.0
2004-08-01,57.5243,13.0569,5.89,6.0,5.5,5.0
2004-07-01,58.1019,12.9087,6.19,6.0,5.5,5.0
2004-06-01,56.4149,14.0736,6.07,6.0,5.5,5.0
2004-05-01,57.737,13.833,5.37,6.0,5.5,5.0
2004-04-01,57.1602,14.681,5.49,6.0,5.5,5.0
2004-03-01,58.4026,13.5227,6.21,6.0,5.5,5.0
2004-02-01,56.7971,15.7534,6.28,6.0,5.5,5.0
2004-01-01,56.3696,17.2564,6.19,6.0,5.5,5.0
2003-12-01,59.8435,12.5583,6.49,6.0,5.5,5.0
2003-11-01,60.3953,12.6352,6.13,6.0,5.5,5.0
2003-10-01,60.2931,13.5222,6.58,6.0,5.5,5.0
2003-09-01,59.0476,14.2348,7.11,6.0,5.5,5.0
2003-08-01,58.792,14.3781,7.26,6.0,5.5,5.0
2003-07-01,57.7683,14.5143,7.04,6.0,5.5,5.0
2003-06-01,57.0927,14.1051,7.21,6.0,5.5,5.0
2003-05-01,59.5381,12.8161,7.73,6.0,5.5,5.0
2003-04-01,57.4155,15.0059,7.85,6.0,5.5,5.0
2003-03-01,59.021,13.1057,7.6,6.0,5.5,5.0
2003-02-01,57.0808,15.8384,7.24,6.0,5.5,5.0
2003-01-01,56.4338,16.2715,7.39,6.0,5.5,5.0
2002-12-01,56.6654,15.4225,6.99,,6.0,
2002-11-01,58.0197,15.1893,7.07,,6.0,
2002-10-01,58.341,14.9726,6.37,,6.0,
2002-09-01,57.0232,14.4655,5.97,,6.0,
2002-08-01,55.9325,15.9527,5.98,,6.0,
2002-07-01,57.0162,15.4261,6.16,,6.0,
2002-06-01,55.9741,15.911,6.25,,6.0,
2002-05-01,56.6801,15.0221,5.84,,6.0,
2002-04-01,57.8068,16.077,5.65,,6.0,
2002-03-01,57.0061,15.1114,5.89,,6.0,
2002-02-01,57.1688,16.1888,6.7,,6.0,
2002-01-01,56.1189,17.9099,7.37,,6.0,
2001-12-01,59.4446,13.6084,7.65,,8.0,
2001-11-01,60.1498,13.6822,7.78,,8.0,
2001-10-01,58.5609,14.5249,8.01,,8.0,
2001-09-01,58.6939,14.0741,7.97,,8.0,
2001-08-01,57.3809,14.9135,8.03,,8.0,
2001-07-01,56.609,15.1838,8.09,,8.0,
2001-06-01,56.1763,15.3123,7.93,,8.0,
2001-05-01,56.2258,14.0358,7.87,,8.0,
2001-04-01,55.7567,14.5151,7.98,,8.0,
2001-03-01,57.5745,15.8119,7.81,,8.0,
2001-02-01,56.9282,17.4342,8.06,,8.0,
2001-01-01,57.5752,16.6223,8.49,,8.0,
