Fecha,TIB,TIR,exp,cont
2013-12-04,3.21698125,3.25,4.25,2.25
2013-12-05,3.2205282,3.25,4.25,2.25
2013-12-06,3.21011574,3.25,4.25,2.25
2013-12-07,,3.25,4.25,2.25
2013-12-08,,3.25,4.25,2.25
2013-12-09,3.22585277,3.25,4.25,2.25
2013-12-10,3.24681699,3.25,4.25,2.25
2013-12-11,3.23744434,3.25,4.25,2.25
2013-12-12,3.22224121,3.25,4.25,2.25
2013-12-13,3.24118218,3.25,4.25,2.25
2013-12-14,,3.25,4.25,2.25
2013-12-15,,3.25,4.25,2.25
2013-12-16,3.26063851,3.25,4.25,2.25
2013-12-17,3.25196166,3.25,4.25,2.25
2013-12-18,3.26068737,3.25,4.25,2.25
2013-12-19,3.26429405,3.25,4.25,2.25
2013-12-20,3.25143948,3.25,4.25,2.25
2013-12-21,,3.25,4.25,2.25
2013-12-22,,3.25,4.25,2.25
2013-12-23,3.26486666,3.25,4.25,2.25
2013-12-24,3.23449335,3.25,4.25,2.25
2013-12-25,,3.25,4.25,2.25
2013-12-26,3.23238795,3.25,4.25,2.25
2013-12-27,3.25582025,3.25,4.25,2.25
2013-12-28,,3.25,4.25,2.25
2013-12-29,,3.25,4.25,2.25
2013-12-30,,3.25,4.25,2.25
2013-12-31,,3.25,4.25,2.25
2014-01-01,,3.25,4.25,2.25
2014-01-02,3.22840871,3.25,4.25,2.25
2014-01-03,3.24583421,3.25,4.25,2.25
2014-01-04,,3.25,4.25,2.25
2014-01-05,,3.25,4.25,2.25
2014-01-06,,3.25,4.25,2.25
2014-01-07,3.22920855,3.25,4.25,2.25
2014-01-08,3.22582396,3.25,4.25,2.25
2014-01-09,3.2390167,3.25,4.25,2.25
2014-01-10,3.24758639,3.25,4.25,2.25
2014-01-11,,3.25,4.25,2.25
2014-01-12,,3.25,4.25,2.25
2014-01-13,3.25130555,3.25,4.25,2.25
2014-01-14,3.25195806,3.25,4.25,2.25
2014-01-15,3.24523729,3.25,4.25,2.25
2014-01-16,3.23982349,3.25,4.25,2.25
2014-01-17,3.23855878,3.25,4.25,2.25
2014-01-18,,3.25,4.25,2.25
2014-01-19,,3.25,4.25,2.25
2014-01-20,3.22647601,3.25,4.25,2.25
2014-01-21,3.22386068,3.25,4.25,2.25
2014-01-22,3.23042162,3.25,4.25,2.25
2014-01-23,3.22718015,3.25,4.25,2.25
2014-01-24,3.23426023,3.25,4.25,2.25
2014-01-25,,3.25,4.25,2.25
2014-01-26,,3.25,4.25,2.25
2014-01-27,3.24158056,3.25,4.25,2.25
2014-01-28,3.25554793,3.25,4.25,2.25
2014-01-29,3.24460825,3.25,4.25,2.25
2014-01-30,3.23774798,3.25,4.25,2.25
2014-01-31,3.24015925,3.25,4.25,2.25
2014-02-01,,3.25,4.25,2.25
2014-02-02,,3.25,4.25,2.25
2014-02-03,3.25689182,3.25,4.25,2.25
2014-02-04,3.26034962,3.25,4.25,2.25
2014-02-05,3.26192848,3.25,4.25,2.25
2014-02-06,3.26454159,3.25,4.25,2.25
2014-02-07,3.25434165,3.25,4.25,2.25
2014-02-08,,3.25,4.25,2.25
2014-02-09,,3.25,4.25,2.25
2014-02-10,3.25678479,3.25,4.25,2.25
2014-02-11,3.26504686,3.25,4.25,2.25
2014-02-12,3.26575972,3.25,4.25,2.25
2014-02-13,3.26586148,3.25,4.25,2.25
2014-02-14,3.26290432,3.25,4.25,2.25
2014-02-15,,3.25,4.25,2.25
2014-02-16,,3.25,4.25,2.25
2014-02-17,3.25666988,3.25,4.25,2.25
2014-02-18,3.24104281,3.25,4.25,2.25
2014-02-19,3.23801971,3.25,4.25,2.25
2014-02-20,3.25144602,3.25,4.25,2.25
2014-02-21,3.24315216,3.25,4.25,2.25
2014-02-22,,3.25,4.25,2.25
2014-02-23,,3.25,4.25,2.25
2014-02-24,3.25326042,3.25,4.25,2.25
2014-02-25,3.25219617,3.25,4.25,2.25
2014-02-26,3.25440337,3.25,4.25,2.25
2014-02-27,3.23912036,3.25,4.25,2.25
2014-02-28,3.22037126,3.25,4.25,2.25
2014-03-01,,3.25,4.25,2.25
2014-03-02,,3.25,4.25,2.25
2014-03-03,3.22335304,3.25,4.25,2.25
2014-03-04,3.20735448,3.25,4.25,2.25
2014-03-05,3.20536289,3.25,4.25,2.25
