fecha,Efectivo,m1,m2,m3
1998-03-31,3247.262,8862.987000000001,43437.029,53051.465010028005
1998-04-30,3411.453922,8788.320922,44192.693922,53614.72768142
1998-05-31,3394.047267,8917.456267,45450.489267000004,54905.658375278
1998-06-30,3535.51843,8952.71543,45428.37843,55143.352214800005
1998-07-31,3418.336,8656.393,45465.386,55275.95357245
1998-08-31,3288.213107,8637.403107,46024.063107,55370.388347147
1998-09-30,3478.845518,8459.625518,45305.948518,54474.23314425
1998-10-31,3432.443448,8317.646448,45558.917448,54228.891581377
1998-11-30,3496.741483,8775.240483,46241.652483,55067.340588989
1998-12-31,4603.495683,10526.461683000001,48558.066683000005,56638.633157849
1999-01-31,3846.979458,9159.352458,48107.550439,56606.379502467
1999-02-28,3731.089874,8754.860874,48530.744855,56980.377783644995
1999-03-31,3909.06594,8711.80194,48412.779921,56608.769236303
1999-04-30,3832.873993,8875.848993,49186.307974,57542.303152077
1999-05-31,3934.804719,9173.761073,49238.811973,57002.5984127126
1999-06-30,4575.527493756,9493.248847756,49381.81436475601,57143.35846725
1999-07-31,4381.650356,9586.54956,49089.933045,56732.285155148995
1999-08-31,4256.851677,9379.946881,49459.487460000004,56887.92127769
1999-09-30,4429.795252,9382.498456000001,48934.594268,56502.087558229
1999-10-31,4361.972503,9304.869707,49632.411723,56848.561348985
1999-11-30,4305.928723,9540.694927,50270.683564000006,57751.6383115875
1999-12-31,6037.070837782,12813.970753782,53670.529371552,59991.9292684114
2000-01-31,4881.40274118456,11542.274488184561,52848.12792111456,59798.95981524586
2000-02-29,4718.960982684,11508.627918684,51593.421595062,57815.521670475304
2000-03-31,4921.655887474,11751.272662473999,51624.896581654,57851.9228404053
2000-04-30,4911.7238776,11901.6414636,51767.54886723,58244.766016932
2000-05-31,5351.6287508,12400.967523799998,52601.01158243,58413.9740153157
2000-06-30,5516.682838714,12723.611209714,52995.648439154,58307.7439446832
2000-07-31,5471.66328064182,12919.98193964182,52952.941529501826,58921.40023040422
2000-08-31,5550.238784968,12606.055998968,52366.677369638,58168.0947184326
2000-09-30,5532.17555235375,12613.668467353751,51825.56285077376,58505.87600814955
2000-10-31,5547.104821352,12603.436478532,52172.895400142,59387.6449356956
2000-11-30,6045.8286449541,13746.8195135241,53443.3680686241,60954.6156225932
2000-12-31,7276.0490665895,16720.7815223295,56663.6467039195,62482.8882415443
2001-01-31,6669.72348482151,14229.15867208151,56528.32570717151,61839.61580193441
2001-02-28,6492.939044998,13695.406600008,55905.875530528,62291.4158576744
2001-03-31,6263.182706166,13824.367650336,56096.929284796,61965.1846903704
2001-04-30,6167.477495042,13674.854478652,56058.834409582,62073.2885390617
2001-05-31,6412.553829535,13671.006572425,56165.033215705,62646.8929085322
